Calidad de usuario,Share Frequency,Dia (nombre) afiliacion,Edad,Dia afiliacion,Hora afiliacion,Number of Records,Categoria Dominante,Concursos Participados,difference_last_and_first_share,difference_last_raffle_first_share,Fecha Afiliacion,Genero,hascode,Id,Nacimiento,Premios Canjeados,Puntos,Puntos Gastados,Puntos Historicos,Recruitments,Shares Totales,stdv_share_difference,Tickets Canjeados,Uni
[4] Usuario semanal constante,5.428571429,Jueves,35,3,23,1,DEPORTES,10,266,168,12/07/2013 02:30:15,M,0,191,20/04/1980,0,236,9200,9436,0,49,16.2749,16,Universidad del B
[5] Usuario perdido,1.857142857,Jueves,35,3,17,1,DEPORTES,2,26,20,10/10/2013 20:13:38,M,0,272,30/07/1980,0,603,1800,2403,0,14,2.0381,2,Universidad Mayor
[4] Usuario semanal constante,3.733333333,Jueves,33,3,15,1,VIDEOJUEGOS,2,112,104,05/12/2013 18:04:11,M,0,1289,23/03/1982,0,52,3300,3352,0,30,10.1122,15,Universidad de Santiago de Chile
[5] Usuario perdido,7.727272727,Martes,32,1,19,1,VIDEOJUEGOS,2,85,85,15/10/2013 22:46:07,F,0,460,13/07/1983,0,2315,4000,6315,0,11,18.6293,4,Universidad del Desarrollo
[4] Usuario semanal constante,4.513513514,Lunes,32,0,21,1,CINE,2,167,167,15/10/2013 00:00:20,M,0,409,04/08/1983,0,619,69000,69619,0,37,10.4114,87,Ninguna
[2] Usuario diario constante,0.688191882,Martes,31,1,18,1,VIAJES,14,373,373,03/12/2013 21:41:37,M,0,1248,22/05/1984,0,121,63850,63971,0,542,4.1913,297,Ninguna
[5] Usuario perdido,14.5,Jueves,30,3,16,1,DEPORTES,2,116,12,04/07/2013 19:00:46,M,0,88,02/01/1985,0,422,950,1372,0,8,28.091,3,Universidad Diego Portales
[4] Usuario semanal constante,3.5,Lunes,30,0,18,1,VIAJES,3,168,161,14/10/2013 21:35:04,M,0,408,04/03/1985,2,2248,26100,28348,0,48,12.566,17,Pontificia Universidad Cat
[5] Usuario perdido,2.2,Domingo,30,6,22,1,DEPORTES,2,22,8,14/10/2013 01:37:02,M,0,363,16/03/1985,0,82,4400,4482,0,10,4.81,9,Universidad Nacional Andr
[4] Usuario semanal constante,1.722222222,Jueves,30,3,15,1,M,9,155,154,05/12/2013 18:21:32,M,0,1290,26/07/1985,0,1532,21650,23182,0,90,2.5018,61,Universidad Tecnol
[3] Semanal por un mes,6.875,Lunes,30,0,14,1,DEPORTES,1,55,-36,28/10/2013 17:02:21,M,0,749,09/10/1985,0,1665,1400,3065,0,8,10.5753,1,Universidad de Las Am
[5] Usuario perdido,12.538461538,Lunes,30,0,12,1,DEPORTES,1,163,159,14/10/2013 15:07:48,F,0,391,13/12/1985,0,1066,5600,6666,0,13,35.2856,14,Universidad Nacional Andr
[3] Semanal por un mes,5,Martes,29,1,15,1,M,2,30,30,12/11/2013 18:07:59,F,0,942,29/01/1986,0,111,5500,5611,0,6,6.5727,18,Ninguna
[5] Usuario perdido,14.55,Viernes,29,4,10,1,CINE,5,291,182,28/06/2013 13:52:29,M,0,53,16/02/1986,0,3317,12350,15667,0,20,25.0726,30,Ninguna
[5] Usuario perdido,51.5,Jueves,29,3,12,1,M,2,103,0,04/07/2013 15:16:24,M,0,82,18/02/1986,0,52,1100,1152,0,2,0,2,Universidad Adolfo Ib
[5] Usuario perdido,25.5,Viernes,29,4,13,1,VIDEOJUEGOS,2,102,7,12/07/2013 16:27:42,M,0,221,11/03/1986,0,1456,6200,7656,0,4,43.2281,9,Ninguna
[5] Usuario perdido,10.3125,Domingo,29,6,22,1,VIDEOJUEGOS,1,165,-2,01/07/2013 01:54:42,M,0,69,12/04/1986,0,100,3200,3300,0,16,35.3346,8,Ninguna
[5] Usuario perdido,15.32,Viernes,29,4,10,1,VIAJES,4,383,364,11/10/2013 13:03:22,M,0,303,20/04/1986,0,421,25700,26121,0,25,51.2189,65,Universidad de Chile
[1] Diario por un mes,0.666666667,Martes,29,1,17,1,M,3,8,7,15/10/2013 20:24:28,F,0,452,01/05/1986,0,312,1800,2112,0,12,1.7104,4,Universidad de Valpara
[5] Usuario perdido,4.666666667,Viernes,29,4,1,1,MISC,2,14,14,11/10/2013 04:55:19,M,1,299,14/05/1986,0,672,900,1572,0,3,7,2,Ninguna
[0] Diario por una semana,0.625,Miércoles,29,2,11,1,VIAJES,4,40,39,16/10/2013 14:36:10,M,0,477,18/05/1986,1,1451,103000,104451,0,64,2.1551,83,Universidad Nacional Andr
[4] Usuario semanal constante,4.522388060,Miércoles,29,2,17,1,M,4,303,303,04/12/2013 20:16:19,M,1,1262,23/05/1986,0,672,10800,11472,0,67,18.575,18,Universidad Nacional Andr
[5] Usuario perdido,1.933333333,Domingo,29,6,18,1,M,2,29,19,13/10/2013 21:38:32,F,0,352,31/07/1986,0,148,900,1048,0,15,3.8815,2,Pontificia Universidad Cat
[5] Usuario perdido,2.9,Viernes,29,4,14,1,M,4,29,27,11/10/2013 17:02:25,F,0,320,14/10/1986,0,3399,4200,7599,0,10,6.3732,10,Universidad Mayor
[5] Usuario perdido,2.545454545,Miércoles,29,2,18,1,CINE,3,28,27,06/11/2013 21:34:14,M,0,869,29/10/1986,0,888,9000,9888,0,11,2.9933,15,Universidad Cat
[5] Usuario perdido,2.8,Miércoles,29,2,0,1,MISC,2,14,5,23/10/2013 03:35:22,F,0,615,24/11/1986,0,340,800,1140,0,5,3.2016,2,Pontificia Universidad Cat
[5] Usuario perdido,8.64,Viernes,29,4,1,1,IDEAS,5,216,216,25/10/2013 04:52:55,M,0,661,08/12/1986,0,90617,22900,113517,0,25,14.9499,25,Ninguna
[5] Usuario perdido,15.7,Miércoles,28,2,17,1,IDEAS,3,314,314,13/11/2013 20:55:31,F,0,978,08/03/1987,0,3944,3850,7794,0,20,60.0792,10,Universidad Adolfo Ib
[0] Diario por una semana,0.966101695,Lunes,28,0,0,1,IDEAS,3,57,35,18/11/2013 03:34:34,M,0,1071,14/04/1987,0,14287,2050,16337,0,59,2.8677,5,Pontificia Universidad Cat
[5] Usuario perdido,8.363636364,Jueves,28,3,17,1,IDEAS,5,92,91,10/10/2013 20:58:18,M,1,276,30/06/1987,0,8918,10850,19768,0,11,8.2801,36,Ninguna
[5] Usuario perdido,0.166666667,Martes,28,1,0,1,CINE,2,2,2,26/11/2013 03:58:25,M,0,1125,03/07/1987,0,256,1850,2106,0,12,0.575,9,Ninguna
[5] Usuario perdido,33,Jueves,28,3,16,1,DEPORTES,4,231,219,10/10/2013 19:33:58,F,0,269,20/07/1987,0,1488,6200,7688,0,7,50.6055,7,Pontificia Universidad Cat
[3] Semanal por un mes,1.617647059,Jueves,28,3,16,1,M,2,55,23,10/10/2013 19:34:28,M,0,270,02/08/1987,0,16591,650,17241,0,34,2.9302,2,Universidad del Desarrollo
[4] Usuario semanal constante,5.471698113,Lunes,28,0,21,1,IDEAS,2,290,280,08/10/2013 00:09:30,M,1,249,20/08/1987,0,6103,1400,7503,0,53,9.9486,3,Universidad T
[5] Usuario perdido,46.2,Miércoles,28,2,23,1,MISC,2,231,218,09/01/2014 02:48:03,F,0,1470,09/09/1987,0,8976,8000,16976,13,5,99.4494,21,Universidad de Chile
[1] Diario por un mes,0.75,Lunes,28,0,12,1,VIDEOJUEGOS,2,9,4,21/10/2013 15:33:12,F,0,580,29/09/1987,0,382,900,1282,0,12,1.9917,2,Universidad Internacional SEK
[4] Usuario semanal constante,5.047619048,Viernes,28,4,12,1,VIAJES,6,424,421,11/10/2013 15:48:11,F,0,311,16/10/1987,0,48620,4550,53170,0,84,18.1911,9,Universidad Tecnol
[6] No capturado,0,Sábado,27,5,13,1,CINE,2,0,0,26/10/2013 16:41:38,M,0,699,06/01/1988,0,198,2600,2798,0,25,0,4,Universidad Nacional Andr
[6] No capturado,0,Miércoles,27,2,12,1,MISC,1,0,-8,30/10/2013 15:11:33,F,0,793,29/02/1988,0,131,500,631,0,1,-1,1,Universidad Tecnol
[5] Usuario perdido,13.409090909,Sábado,27,5,14,1,VIAJES,2,295,262,22/02/2014 17:36:31,M,0,1880,06/03/1988,0,8598,1900,10498,0,22,24.9313,5,Ninguna
[6] No capturado,0,Miércoles,27,2,11,1,MISC,1,0,-1,16/10/2013 14:45:52,F,0,479,19/03/1988,0,388,350,738,0,1,-1,2,Universidad de Las Am
[4] Usuario semanal constante,3.21875,Jueves,27,3,14,1,DEPORTES,3,103,103,21/11/2013 17:14:55,M,0,1090,04/07/1988,0,276,7150,7426,0,32,7.0683,37,Ninguna
[3] Semanal por un mes,5.625,Jueves,27,3,18,1,M,8,45,38,10/10/2013 21:06:29,F,1,277,06/07/1988,0,5459,4650,10109,0,8,7.0073,15,Universidad Nacional Andr
[5] Usuario perdido,1.333333333,Domingo,27,6,23,1,CINE,3,12,1,14/10/2013 02:33:01,F,0,371,12/09/1988,0,127,1250,1377,0,9,2.8723,4,Universidad Mayor
[4] Usuario semanal constante,4.355555556,Lunes,27,0,15,1,IDEAS,16,196,196,11/11/2013 18:36:04,F,0,932,14/09/1988,1,2497,25050,27547,0,45,11.5137,49,Universidad Nacional Andr
[1] Diario por un mes,0.391304348,Jueves,27,3,14,1,DEPORTES,2,9,7,27/03/2014 17:38:15,M,0,2195,27/10/1988,0,778,3200,3978,0,23,0.8344,11,Universidad Gabriela Mistral
[1] Diario por un mes,0.866666667,Viernes,27,4,12,1,VIDEOJUEGOS,2,13,0,11/10/2013 15:31:48,F,0,309,07/11/1988,0,510,900,1410,0,15,3.0814,2,Ninguna
[4] Usuario semanal constante,2.289473684,Viernes,27,4,18,1,M,2,348,308,06/12/2013 21:46:12,F,0,1319,09/12/1988,0,12897,750,13647,0,152,14.0387,2,Pontificia Universidad Cat
[5] Usuario perdido,10.083333333,Martes,27,1,21,1,DEPORTES,4,121,107,23/10/2013 00:43:41,M,0,609,20/12/1988,0,1207,17800,19007,0,12,34.47,35,Pontificia Universidad Cat
[4] Usuario semanal constante,3.278260870,Viernes,26,4,13,1,IDEAS,10,377,330,11/10/2013 16:24:33,M,0,315,06/01/1989,0,20518,127400,147918,0,115,5.9089,243,Ninguna
[4] Usuario semanal constante,5.285714286,Domingo,26,6,13,1,VIDEOJUEGOS,3,148,124,20/10/2013 16:55:27,F,0,553,13/02/1989,0,7268,2250,9518,0,28,7.4851,7,Universidad de Santiago de Chile
[3] Semanal por un mes,3,Miércoles,26,2,18,1,M,2,42,36,08/01/2014 21:21:22,M,0,1466,31/03/1989,0,604,1100,1704,0,14,6.3749,2,Universidad San Sebasti
[5] Usuario perdido,8.222222222,Jueves,26,3,19,1,DEPORTES,1,148,34,27/06/2013 22:28:59,M,0,35,08/04/1989,1,46,15200,15246,0,18,20.0434,13,Pontificia Universidad Cat
[5] Usuario perdido,1.785714286,Jueves,26,3,17,1,CINE,2,25,17,10/10/2013 20:55:39,F,0,275,27/04/1989,0,807,950,1757,0,14,3.1735,6,Universidad del Desarrollo
[5] Usuario perdido,1.133333333,Martes,26,1,1,1,VIDEOJUEGOS,3,17,17,05/11/2013 04:12:37,F,0,846,11/05/1989,0,7,2250,2257,0,15,1.9704,6,Universidad del Pac
[4] Usuario semanal constante,6.777777778,Viernes,26,4,14,1,DEPORTES,2,61,15,18/10/2013 17:01:18,M,0,525,19/05/1989,0,11181,4800,15981,0,9,13.729,5,Universidad Tecnol
[3] Semanal por un mes,2.8,Martes,26,1,13,1,DEPORTES,3,42,35,22/10/2013 16:09:15,F,0,599,16/06/1989,0,855,2050,2905,0,15,8.5105,7,Universidad Nacional Andr
[5] Usuario perdido,7.125,Jueves,26,3,17,1,M,1,57,49,17/04/2014 20:30:11,M,0,2325,11/07/1989,0,2841,3000,5841,0,8,8.1491,2,Universidad T
[1] Diario por un mes,0.735294118,Sábado,26,5,23,1,VIDEOJUEGOS,2,25,25,12/01/2014 02:15:41,F,0,1539,30/08/1989,0,57,3500,3557,1,34,4.1123,7,Universidad de Concepci
