puntos_historicos;fecha_afiliacion;uni;genero;nacimiento;hora_afiliacion;dia_afiliacion;puntos_gastados;shares_totales;categoria_dominante;recruitments;concursos_participados;premios_canjeados;tickets_canjeados;difference_last_and_first_share;difference_last_raffle_first_share;edad;shares_frequency;quality;quality_id;sistema_registro;densidad_videos;calidad_videos;densidad_concursos;densidad_videos_semanas_registro
0;2014-06-30;NA;NA;NA;2;Lunes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Regular;Somewhat Low;Somewhat Low;Low
0;2014-07-03;NA;M;NA;23;Miercoles;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat High;High;Somewhat Low
0;2014-07-03;NA;M;NA;16;Jueves;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Through video display;Somewhat Low;Regular;High;High
184;2014-07-03;Pontificia Universidad Cat;M;1987-02-14;17;Jueves;0;4;CINE;0;0;0;0;0;-1;29;0;Not captured;1;Through video display;Low;Low;Low;Somewhat High
0;2014-07-03;NA;M;NA;19;Jueves;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Through video display;High;Somewhat Low;Somewhat High;Somewhat High
0;2014-07-04;NA;F;NA;0;Viernes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;High;Somewhat High;Regular;Low
0;2014-07-04;NA;M;NA;10;Viernes;0;0;NA;0;0;0;0;-1;-1;18;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat Low;Somewhat Low;Somewhat Low
0;2014-07-04;NA;M;NA;15;Viernes;0;0;NA;0;0;0;0;-1;-1;21;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat Low;Somewhat Low;High
0;2014-07-05;NA;M;NA;22;Viernes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;High;Somewhat Low;Low;Low
0;2014-07-05;NA;M;NA;23;Viernes;0;0;NA;0;0;0;0;-1;-1;34;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat Low;High;Low
0;2014-07-05;NA;M;NA;15;Sabado;0;1;DEPORTES;0;0;0;0;0;-1;22;0;Not captured;1;Through video display;Somewhat Low;Regular;Low;High
80;2014-07-06;NA;M;NA;9;Domingo;0;1;MISC;0;0;0;0;0;-1;20;0;Not captured;1;Facebook campaign;Somewhat Low;Regular;Somewhat Low;Somewhat Low
40;2014-07-06;NA;M;NA;13;Domingo;0;1;MISC;0;0;0;0;0;-1;44;0;Not captured;1;Normal sign in;Low;Somewhat High;Low;Somewhat Low
0;2014-07-06;NA;M;NA;17;Domingo;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Regular;Low;High;Low
0;2014-07-07;NA;F;NA;17;Lunes;0;0;NA;0;0;0;0;-1;-1;26;0;Not interested/Didn't get it;0;Through video display;High;Regular;Low;High
0;2014-07-07;NA;F;NA;19;Lunes;0;0;NA;0;0;0;0;-1;-1;20;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat Low;Somewhat High;Regular
0;2014-07-08;NA;F;NA;23;Lunes;0;0;NA;0;0;0;0;-1;-1;25;0;Not interested/Didn't get it;0;Through video display;Somewhat Low;Somewhat High;High;Somewhat High
96;2014-07-08;NA;F;NA;23;Lunes;0;1;MISC;0;0;0;0;0;-1;22;0;Not captured;1;Facebook campaign;Low;High;Low;Somewhat High
0;2014-07-08;NA;M;NA;2;Martes;0;0;NA;0;0;0;0;-1;-1;33;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat Low;Low;Somewhat High
0;2014-07-08;NA;M;NA;12;Martes;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Through video display;High;Somewhat Low;Low;High
40;2014-07-08;NA;M;NA;13;Martes;0;4;DEPORTES;0;0;0;0;0;-1;25;0;Not captured;1;Physical campaign: fair;Somewhat Low;Low;Low;High
0;2014-07-08;NA;F;NA;15;Martes;0;1;DEPORTES;0;0;0;0;0;-1;24;0;Not captured;1;Through video display;Low;Somewhat Low;Low;Somewhat High
0;2014-07-08;NA;F;NA;15;Martes;0;0;NA;0;0;0;0;-1;-1;46;0;Not interested/Didn't get it;0;Through video display;Somewhat Low;Regular;High;High
40;2014-07-09;NA;NA;NA;20;Miercoles;0;1;MISC;0;0;0;0;0;-1;25;0;Not captured;1;Facebook campaign;Low;Low;Low;High
0;2014-07-10;NA;NA;NA;15;Jueves;0;1;DEPORTES;0;0;0;0;0;-1;22;0;Not captured;1;Facebook campaign;Low;Low;Low;Low
0;2014-07-11;NA;M;NA;1;Viernes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Somewhat Low;Somewhat Low;Low;Regular
0;2014-07-12;NA;F;NA;23;Viernes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat Low;Somewhat Low;High
40;2014-07-12;NA;F;NA;16;Sabado;0;5;MISC;0;0;0;0;0;-1;21;0;Not captured;1;Through video display;Regular;Regular;Somewhat Low;Somewhat Low
0;2014-07-14;NA;F;NA;0;Lunes;0;0;NA;0;0;0;0;-1;-1;29;0;Not interested/Didn't get it;0;Through video display;Low;Regular;Somewhat High;High
0;2014-07-14;NA;M;NA;1;Lunes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Low;Low;High;Low
0;2014-07-14;NA;M;NA;7;Lunes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat Low;Somewhat Low;Somewhat Low
40;2014-07-14;NA;NA;NA;10;Lunes;0;2;MISC;0;0;0;0;0;-1;26;0;Not captured;1;Physical campaign: fair;Somewhat Low;Somewhat High;Low;Somewhat High
0;2014-07-14;NA;F;NA;16;Lunes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;High;Somewhat Low;Low;Regular
0;2014-07-15;NA;M;NA;7;Martes;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Normal sign in;High;Low;Somewhat Low;High
0;2014-07-15;NA;M;1992-01-01;8;Martes;0;1;MISC;0;0;0;0;0;-1;24;0;Not captured;1;Normal sign in;Somewhat High;Somewhat Low;Low;Somewhat High
0;2014-07-16;NA;NA;NA;2;Miercoles;0;3;DEPORTES;0;0;0;0;0;-1;25;0;Not captured;1;Physical campaign: fair;Somewhat Low;Regular;Low;High
0;2014-07-16;NA;NA;NA;9;Miercoles;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat Low;Low;Somewhat High
0;2014-07-16;NA;NA;NA;15;Miercoles;0;0;NA;0;0;0;0;-1;-1;26;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat Low;Somewhat High;Low
0;2014-07-16;NA;NA;NA;15;Miercoles;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;High;Regular;High;High
0;2014-07-17;NA;NA;NA;9;Jueves;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Recruited;Somewhat High;Somewhat Low;Regular;Low
0;2014-07-17;NA;NA;NA;16;Jueves;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Regular;Somewhat Low;Regular;Somewhat Low
0;2014-07-18;NA;M;NA;23;Jueves;0;0;NA;0;0;0;0;-1;-1;24;0;Not interested/Didn't get it;0;Through video display;High;Somewhat Low;Somewhat Low;Somewhat Low
0;2014-07-18;NA;M;NA;15;Viernes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;High;Somewhat Low;Somewhat Low;Somewhat High
0;2014-07-18;NA;NA;NA;16;Viernes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Normal sign in;Somewhat High;Somewhat High;Regular;High
0;2014-07-18;NA;M;NA;18;Viernes;0;0;NA;0;0;0;0;-1;-1;37;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Regular;Somewhat Low;Low
0;2014-07-18;NA;M;NA;18;Viernes;0;0;NA;0;0;0;0;-1;-1;28;0;Not interested/Didn't get it;0;Through video display;High;Low;Regular;Somewhat High
24;2014-07-19;NA;M;NA;21;Viernes;0;2;MISC;0;0;0;0;0;-1;22;0;Not captured;1;Normal sign in;Somewhat Low;Low;Low;High
0;2014-07-19;NA;M;NA;21;Viernes;0;0;NA;0;0;0;0;-1;-1;26;0;Not interested/Didn't get it;0;Through video display;Somewhat Low;Low;Low;Somewhat Low
0;2014-07-19;NA;M;NA;0;Sabado;0;1;MISC;0;0;0;0;0;-1;42;0;Not captured;1;Through video display;Somewhat High;Somewhat Low;Low;High
0;2014-07-19;NA;F;NA;14;Sabado;0;4;VIDEOJUEGOS;0;0;0;0;2;-1;41;0.5;Lost;2;Recruited;Low;Low;Somewhat Low;High
0;2014-07-20;NA;F;NA;11;Domingo;0;0;NA;0;0;0;0;-1;-1;28;0;Not interested/Didn't get it;0;Recruited;High;Somewhat High;Somewhat Low;High
0;2014-07-20;NA;NA;NA;11;Domingo;0;0;NA;0;0;0;0;-1;-1;26;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat Low;Somewhat Low;Low
24;2014-07-20;NA;M;NA;12;Domingo;0;1;MISC;0;0;0;0;0;-1;21;0;Not captured;1;Physical campaign: flyers;Somewhat High;Regular;Low;Low
0;2014-07-20;NA;M;NA;13;Domingo;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Through video display;Regular;Somewhat High;Low;Somewhat Low
0;2014-07-20;NA;NA;NA;13;Domingo;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Through video display;High;Somewhat Low;High;Low
0;2014-07-20;NA;NA;NA;14;Domingo;0;0;NA;0;0;0;0;-1;-1;32;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat Low;Low;High
0;2014-07-21;NA;M;NA;3;Lunes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Normal sign in;High;Low;Somewhat Low;Regular
0;2014-07-21;NA;M;NA;4;Lunes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;High;Regular;Regular;Somewhat Low
0;2014-07-21;NA;NA;NA;8;Lunes;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Through video display;Somewhat Low;Low;Somewhat Low;Regular
0;2014-07-21;NA;M;NA;11;Lunes;0;1;DEPORTES;0;0;0;0;0;-1;24;0;Not captured;1;Through video display;Somewhat Low;Somewhat Low;Low;Somewhat High
0;2014-07-21;NA;M;NA;17;Lunes;0;0;NA;0;0;0;0;-1;-1;34;0;Not interested/Didn't get it;0;Through video display;Regular;Somewhat Low;High;High
0;2014-07-21;NA;NA;NA;17;Lunes;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Somewhat Low;Regular;Somewhat Low;Regular
40;2014-07-21;NA;M;NA;20;Lunes;0;2;DEPORTES;0;0;0;0;1;-1;24;0.5;Lost;2;Recruited;High;Low;Low;Low
0;2014-07-22;NA;F;NA;18;Martes;0;0;NA;0;0;0;0;-1;-1;24;0;Not interested/Didn't get it;0;Through video display;High;Somewhat Low;Regular;High
0;2014-07-23;NA;NA;NA;18;Miercoles;0;0;NA;0;0;0;0;-1;-1;25;0;Not interested/Didn't get it;0;Through video display;Low;Regular;Somewhat High;High
0;2014-07-23;NA;NA;NA;19;Miercoles;0;0;NA;0;0;0;0;-1;-1;24;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat Low;Low;Somewhat High
0;2014-07-24;NA;M;NA;13;Jueves;0;1;MISC;0;0;0;0;0;-1;23;0;Not captured;1;Through video display;Low;Somewhat Low;Low;Somewhat Low
0;2014-07-24;NA;M;NA;16;Jueves;0;0;NA;0;0;0;0;-1;-1;25;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat High;Somewhat Low;Regular
0;2014-07-24;NA;NA;NA;17;Jueves;0;0;NA;0;0;0;0;-1;-1;25;0;Not interested/Didn't get it;0;Through video display;Low;Regular;Somewhat Low;High
